maint_id,repair_date,technician_name,repair_cost,resource_id
1,2025-08-14,Sarah Jenkins,79,4
2,2026-02-22,Hans Schmidt,76,62
3,2025-10-30,Robert Chen,47,69
4,2026-01-11,Hans Schmidt,86,94
5,2026-03-30,Hans Schmidt,87,85
6,2025-12-02,Liam O'Connor,87,64
7,2025-04-24,Yuki Tanaka,83,33
8,2025-09-08,Maria Garcia,38,12
9,2025-08-27,David Smirnov,11,52
10,2025-07-29,Liam O'Connor,40,19
11,2025-04-20,Hans Schmidt,10,28
12,2026-02-10,Hans Schmidt,64,83
13,2025-06-22,Isabella Silva,16,65
14,2025-10-21,Hans Schmidt,61,19
15,2026-01-05,Lars Nielsen,51,19
16,2026-02-24,Marcus Washington,89,61
17,2025-10-08,Yuki Tanaka,17,76
18,2026-02-17,Lars Nielsen,10,35
19,2025-12-23,Yuki Tanaka,14,88
20,2025-05-27,David Smirnov,11,4
21,2026-01-19,Liam O'Connor,46,81
22,2026-02-15,Liam O'Connor,31,93
23,2025-08-19,Ahmed Hassan,10,79
24,2026-03-16,Sarah Jenkins,12,62
25,2025-05-23,Lars Nielsen,51,82
26,2026-03-07,Maria Garcia,59,94
27,2025-08-12,Chloe Dubois,24,24
28,2025-10-12,Lars Nielsen,14,38
29,2025-05-21,Fatima Al-Zahra,79,58
30,2026-01-01,Marcus Washington,76,44
31,2026-02-04,Robert Chen,13,20
32,2026-01-27,Lars Nielsen,61,13
33,2025-04-22,Liam O'Connor,91,49
34,2025-09-02,Lars Nielsen,39,17
35,2025-10-07,Yuki Tanaka,64,24
36,2026-03-21,Lars Nielsen,1,48
37,2025-08-04,Isabella Silva,40,95
38,2025-07-30,Chloe Dubois,88,43
39,2025-05-15,Chloe Dubois,7,86
40,2025-06-14,Liam O'Connor,47,85
41,2025-08-01,Yuki Tanaka,77,88
42,2026-02-16,Yuki Tanaka,31,41
43,2025-09-15,Maria Garcia,49,77
44,2025-10-06,Chloe Dubois,22,94
45,2025-09-04,Liam O'Connor,37,97
46,2025-06-11,Lars Nielsen,87,2
47,2025-05-06,Fatima Al-Zahra,57,69
48,2026-04-01,Elena Rossi,44,46
49,2026-03-26,Chloe Dubois,86,99
50,2025-10-10,David Smirnov,6,10
51,2025-10-15,Sarah Jenkins,20,93
52,2025-06-13,Marcus Washington,99,47
53,2026-01-02,Isabella Silva,49,100
54,2025-08-20,Ahmed Hassan,22,84
55,2026-01-13,Isabella Silva,42,86
56,2025-11-28,Yuki Tanaka,21,14
57,2025-12-03,Hans Schmidt,10,97
58,2025-06-06,Robert Chen,45,49
59,2026-03-22,Isabella Silva,66,54
60,2026-01-20,Robert Chen,17,27
61,2025-10-07,Robert Chen,64,9
62,2025-11-01,Marcus Washington,86,76
63,2026-02-01,Liam O'Connor,85,68
64,2025-08-08,Elena Rossi,95,74
65,2025-09-09,Elena Rossi,15,13
66,2025-06-28,Maria Garcia,38,46
67,2025-09-18,Lars Nielsen,87,81
68,2025-04-13,James Miller,37,87
69,2025-06-16,Hans Schmidt,11,48
70,2025-10-01,Isabella Silva,38,78
71,2026-04-04,Robert Chen,67,16
72,2025-04-23,David Smirnov,91,87
73,2025-04-27,Isabella Silva,17,13
74,2025-04-29,Marcus Washington,90,80
75,2026-01-25,Maria Garcia,7,94
76,2025-07-30,Marcus Washington,72,97
77,2025-09-26,Liam O'Connor,41,84
78,2025-05-01,Isabella Silva,72,53
79,2026-01-12,Marcus Washington,44,6
80,2025-06-24,Chloe Dubois,71,68
81,2025-10-23,James Miller,68,75
82,2025-07-14,Fatima Al-Zahra,7,44
83,2025-09-04,Chloe Dubois,96,17
84,2025-07-05,David Smirnov,35,93
85,2025-09-12,David Smirnov,1,20
86,2025-04-23,Maria Garcia,58,39
87,2025-11-05,Ahmed Hassan,24,42
88,2025-05-28,Maria Garcia,89,16
89,2025-10-17,Elena Rossi,75,99
90,2026-01-18,Lars Nielsen,99,10
91,2026-03-24,Yuki Tanaka,41,45
92,2026-03-15,Robert Chen,39,40
93,2025-07-25,Elena Rossi,3,72
94,2025-06-23,Robert Chen,69,73
95,2025-04-10,Fatima Al-Zahra,92,17
96,2026-01-03,Maria Garcia,73,66
97,2025-04-22,Elena Rossi,22,72
98,2026-03-21,Liam O'Connor,38,54
99,2025-09-18,Maria Garcia,37,66
100,2025-07-08,Isabella Silva,30,94
101,2026-02-09,Ahmed Hassan,36,100
